codigo,detalle_url,item,principio_activo,forma_farmaceutica,concentracion,presentacion_comercial,estado,presupuesto,provincia,canton,fecha_publicacion
SICM-195-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gUPw16AybUFmG-Iw-3hvei4gssVYxvvHpz0ATrWywLQ,",DCI: ACICLOVIR - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 800 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Aciclovir,,800 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.118,Pichincha , Quito,2022-04-28 08:00:00
SICM-181-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=00H0WMU1g15gxmTlVxjd_SeIVjTrizX9cvBoBrVT0m8,",DCI: LORATADINA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 5 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML -MÍNIMO-,Loratadina,Líquido Oral,5 MG/5 ML,Caja X Frasco X 60 Ml -Mínimo-,Adjudicado oferente ganador,0.43,Pichincha , Quito,2022-04-28 08:00:00
SICM-196-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ILLDITGAMFne_Oqdlc-5ZYSDpF3XpAXMbHMA0m3Gd5Q,",DCI: CEFALEXINA - FORMA FARMACÉUTICA: SÓLIDO ORAL -POLVO - CONCENTRACIÓN: 250 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO PARA RECONSTITUIR A 60 ML -MÍNIMO- CON DOSIFICADOR,Cefalexina,Sólido Oral -Polvo,250 MG/5 ML,Caja X Frasco Para Reconstituir A 60 Ml -Mínimo- Con Dosificador,Adjudicado oferente ganador,0.8,Pichincha , Quito,2022-04-28 08:00:00
SICM-182-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ee-YFBxWH8OP6T8xiHfLov_eVlKtmtV9YK8XRdYJEmI,",DCI: CEFALEXINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Cefalexina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.075,Pichincha , Quito,2022-04-28 08:00:00
SICM-183-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=WaEaoOeYtNA4fH74dq3qyQmlo5XAhg2bSqLZ7vRT7S8,",DCI: TERBINAFINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 250 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Terbinafina,Sólido Oral,250 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.09,Pichincha , Quito,2022-04-28 08:00:00
SICM-152-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=T9AvhgM47T-AOZqWFTGKvZLN9Aoqi4a_U5PF-HDd7PU,",DCI: LEVODOPA + CARBIDOPA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 250 MG + 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Levodopa + Carbidopa,Sólido Oral,250 MG + 25 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.10139,Pichincha , Quito,2022-03-30 08:00:00
SICM-153-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MCHNctRWIVqExbZp_EH3zR7ZL-Mxud7mv1tRzYYH26k,",DCI: LEVOMEPROMAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Levomepromazina,Sólido Oral,100 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.16885,Pichincha , Quito,2022-03-30 08:00:00
SICM-155-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=aTCQD_5uQYuZ6Wo-ZaSG-hrHUSs1OrtlJf7d7QqJsb0,",DCI: HALOPERIDOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 5 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Haloperidol,Sólido Oral,5 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.09,Pichincha , Quito,2022-03-30 08:00:00
SICM-157-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=4j_E_tWUbsWU_oQIZZmdJ7g3gPdYkGsCRPpmJLoBIUM,",DCI: DIAZEPAM - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 2 ML,Diazepam,Líquido Parenteral,5 MG/ML,Caja X Ampolla-S- X 2 Ml,Adjudicado oferente ganador,0.4,Pichincha , Quito,2022-03-30 08:00:00
SICM-158-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=vFsrlCcx9O3fmrloNLaaPNebQPNhCqeXkQbD99UZcTA,","DCI: ALPRAZOLAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 0,25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Alprazolam,Sólido Oral,"0,25 MG",Caja X Blíster/Ristra,Adjudicado oferente ganador,0.0864,Pichincha , Quito,2022-03-30 08:00:00
SICM-160-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=YhVXmFf7bcLUO8zlWzIs8i0IQa9SQSr2b5fPF8nGsv4,",DCI: MIDAZOLAM - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLAS X 3 ML,Midazolam,Líquido Parenteral,5 MG/ML,Caja X Ampollas X 3 Ml,Adjudicado oferente ganador,1.01787,Pichincha , Quito,2022-03-30 08:00:00
SICM-161-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=albxd1h8IJfrCZtaxzQ3TSMPGjzsRmYsl4_GFzTbAGs,",DCI: MIDAZOLAM - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 10 ML,Midazolam,Líquido Parenteral,5 MG/ML,Caja X Ampolla-S- X 10 Ml,Adjudicado otros oferentes,1.5,Pichincha , Quito,2022-03-30 08:00:00
SICM-162-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=emyGLQlx1HAZ2AJWBMWJHmNCMI6Zv3CXJUvEIjvP8As,","DCI: DEXMEDETOMIDINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 MCG/ML -0,1 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 2 ML",Dexmedetomidina,Líquido Parenteral,"100 MCG/ML -0,1 MG/ML",Caja X Vial-Es- X 2 Ml,Adjudicado otros oferentes,3.9,Pichincha , Quito,2022-03-30 08:00:00
SICM-163-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lE6EdeMtg2zUBks8GUKgvkgDbFmEbhHQTDZSOw9-F7g,","DCI: NEOSTIGMINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML",Neostigmina,Líquido Parenteral,"0,5 MG/ML",Caja X Ampolla-S- X 1 Ml,Adjudicado oferente ganador,0.2,Pichincha , Quito,2022-03-30 08:00:00
SICM-167-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a1O3Nt3QFnh-RZeiWORL10amdHnPCkUJMyP3ENDKPX4,",DCI: NITROFURANTOÍNA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 25 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 100 ML -MÍNIMO- CON DOSIFICADOR,Nitrofurantoína,Líquido Oral,25 MG/5 ML,Caja X Frasco X 100 Ml -Mínimo- Con Dosificador,Adjudicado oferente ganador,0.8988,Pichincha , Quito,2022-03-30 08:00:00
SICM-168-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mGeNv1-TG_fQaI-GK7gtOH5mFVBjY0aFnDBpQSxksbc,",DCI: TRASTUZUMAB - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 440 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE,Trastuzumab,Sólido Parenteral,440 MG,Caja X Vial Con Diluyente,Adjudicado oferente ganador,875.0,Pichincha , Quito,2022-03-30 08:00:00
SICM-136-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=vPCQhIQ9zE1e-jflfPFN2TDz5n_B16rKSAppu-vOyYU,",DCI: PARACETAMOL - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 160 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML - MÍNIMO - CON DOSIFICADOR,Paracetamol,Líquido Oral,160 MG/5 ML,Caja X Frasco X 60 Ml - Mínimo - Con Dosificador,Adjudicado oferente ganador,0.61005,Pichincha , Quito,2022-03-29 08:00:00
SICM-137-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=E8b5OS6Sqm0yF1E6ReiqvRAXcuHsMAx7xC6rO13qr-0,",DCI: PARACETAMOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 50 ML,Paracetamol,Líquido Parenteral,10 MG/ML,Caja X Vial-Es X 50 Ml,Adjudicado oferente ganador,1.0,Pichincha , Quito,2022-03-29 08:00:00
SICM-138-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rA1yPTAb3HHDXn4AlXSJOIOt5jtNRXuYSGGQgR1TF58,",DCI: PARACETAMOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 100 ML,Paracetamol,Líquido Parenteral,10 MG/ML,Caja X Vial-Es X 100 Ml,Adjudicado otros oferentes,0.69,Pichincha , Quito,2022-03-29 08:00:00
SICM-140-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=FlIxjaQjG2fy_omBOisDOh0yOMk2ks1hyYT-lAlQvjc,",DCI: FENITOÍNA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 5 ML,Fenitoína,Líquido Parenteral,50 MG/ML,Caja X Ampolla-S X 5 Ml,Adjudicado oferente ganador,0.66,Pichincha , Quito,2022-03-29 08:00:00
SICM-144-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=QkMeoQellKPK8BRSIMmJxXyETfAm6fKqg89oIuB1gpk,",DCI: CARBAMAZEPINA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 100 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 100 ML - MÍNIMO - CON DOSIFICADOR,Carbamazepina,Líquido Oral,100 MG/5 ML,Caja X Frasco X 100 Ml - Mínimo - Con Dosificador,Adjudicado oferente ganador,0.65,Pichincha , Quito,2022-03-29 08:00:00
SICM-146-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mMLBK4B-Dd12ZkjRm1e9SYBP3b1jLKBzl0B5nwPRjEM,",DCI: ÁCIDO VALPRÓICO - SAL SÓDICA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 250 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 100 ML - MÍNIMO - CON DOSIFICADOR,Ácido Valpróico,Líquido Oral,250 MG/5 ML,Caja X Frasco X 100 Ml - Mínimo - Con Dosificador,Adjudicado otros oferentes,3.2,Pichincha , Quito,2022-03-29 08:00:00
SICM-122-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=b8NQJotcZxq7YtYIVCzDmXwKoozlie2xyCwGaJJTlHk,","DCI: FENTANILO - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO - PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 4,2 MG - 25 MCG/HORA - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES",Fentanilo,Sólido Cutáneo - Parche Transdérmico,"4,2 MG - 25 MCG/HORA",Caja X Parche/Parches,Adjudicado oferente ganador,6.7731,Pichincha , Quito,2022-03-29 08:00:00
SICM-147-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=M0aHmazD1oBDWHJk4QsbD01h8fZAnT7cAPZANxvLmTI,","DCI: ÁCIDO VALPRÓICO - SAL SÓDICA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Ácido Valpróico,Sólido Oral,500 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado oferente ganador,0.13884,Pichincha , Quito,2022-03-29 08:00:00
SICM-123-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=zue1vnjxbVFlEOlKVIdySzd2j_KUxHO6_iW6JtApfM8,",DCI: REMIFENTANILO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 2 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL - ES,Remifentanilo,Sólido Parenteral,2 MG,Caja X Vial - Es,Adjudicado otros oferentes,6.12,Pichincha , Quito,2022-03-29 08:00:00
SICM-148-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Eq_axnuUPuHmegpmNrDz0bH6zrwZqtzsms-Oy9hbqxk,",DCI: LAMOTRIGINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Lamotrigina,Sólido Oral,25 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.12,Pichincha , Quito,2022-03-29 08:00:00
SICM-149-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=eHTVpqXt8OV0_ncimGY4Tqz4wZJttaGMVoNRjnKrY3I,",DCI: LAMOTRIGINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Lamotrigina,Sólido Oral,50 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.125,Pichincha , Quito,2022-03-29 08:00:00
SICM-150-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=10I-iTCOrWkSGSowMa8lyrfcKHbc-cTuIT_iyWmkfcE,",DCI: GABAPENTINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Gabapentina,Sólido Oral,300 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.056,Pichincha , Quito,2022-03-29 08:00:00
SICM-124-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=noEj0wmu_GEID3AimXGpdoUh9gFuWWUuTTauyQHe21E,",DCI: REMIFENTANILO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 5 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL - ES,Remifentanilo,Sólido Parenteral,5 MG,Caja X Vial - Es,Adjudicado otros oferentes,5.5405,Pichincha , Quito,2022-03-29 08:00:00
SICM-125-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=z_o4WSP1G5jEjOlbedAxSei5HLt83dvCnC7H7tuifrc,",DCI: PROPOFOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL - ES X 50 ML,Propofol,Líquido Parenteral,20 MG/ML,Caja X Vial - Es X 50 Ml,Adjudicado oferente ganador,5.0,Pichincha , Quito,2022-03-29 08:00:00
SICM-126-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=KurK4EtJvHc_DnndBWps4t-AJ8clzHw63B3PeiEMNUE,",DCI: LIDOCAÍNA SIN EPINEFRINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 2% - PRESENTACIÓN COMERCIAL: CAJA X VIAL - ES X 20 ML,Lidocaína Sin Epinefrina,Líquido Parenteral,2%,Caja X Vial - Es X 20 Ml,Adjudicado oferente ganador,1.35,Pichincha , Quito,2022-03-29 08:00:00
SICM-127-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MXZeTaVjFUxAHzCmWaO7_Aca92mP1cbmpOcUYRbQYkI,",DCI: LIDOCAÍNA SIN EPINEFRINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 2% - PRESENTACIÓN COMERCIAL: CAJA X VIAL - ES X 50 ML,Lidocaína Sin Epinefrina,Líquido Parenteral,2%,Caja X Vial - Es X 50 Ml,Adjudicado oferente ganador,2.03,Pichincha , Quito,2022-03-29 08:00:00
SICM-129-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kk3j3sCJ38FiGufqceU3cHmYytS_n0qENyvliurvSDQ,",DCI: MORFINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA - S X 1 ML,Morfina,Líquido Parenteral,10 MG/ML,Caja X Ampolla - S X 1 Ml,Adjudicado oferente ganador,0.73013,Pichincha , Quito,2022-03-29 08:00:00
SICM-135-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=bJcjhShLhFAGB5JCeqEdANguaydFLwtxNPgMJ1HWROQ,",DCI: PARACETAMOL - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 150 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML - MÍNIMO CON DOSIFICADOR,Paracetamol,Líquido Oral,150 MG/5 ML,Caja X Frasco X 60 Ml - Mínimo Con Dosificador,Adjudicado oferente ganador,0.7055,Pichincha , Quito,2022-03-29 08:00:00
SICM-106-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ycUdyQoQFOtjkQtQn-xICKIEIF5mN6hEjSLa3dEupQU,",DCI: FOSFOMICINA - FORMA FARMACÉUTICA: SÓLIDO ORAL -GRÁNULOS- CONCENTRACIÓN: 3 G - PRESENTACIÓN COMERCIAL: CAJA X SOBRES/SACHETS,Fosfomicina,Sólido Oral -Gránulos- Concentración: 3 G - Presentación Comercial: Caja X Sobres/Sachets,3 G,Caja X Sobres/Sachets,Adjudicado oferente ganador,6.05916,Pichincha , Quito,2022-03-28 08:00:00
SICM-107-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-8MM8ld0z9FLg0z6fUVoOnwDLvlIBcD_vQY6E9FwMM8,",DCI: FOSFOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES-,Fosfomicina,Sólido Parenteral,1 000 MG,Caja X Vial-Es-,Adjudicado otros oferentes,3.0,Pichincha , Quito,2022-03-28 08:00:00
SICM-108-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=dNd8OQ21G0KqCi69ppuxVV7ZHgYhQbLtnjUUwgSVeyQ,",DCI: LINEZOLID - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 2 MG/ML - PRESENTACIÓN COMERCIAL: FRASCO PLÁSTICO/FUNDA FLEXIBLE AUTOCOLAPSABLE X 300 ML,Linezolid,Líquido Parenteral,2 MG/ML,Frasco Plástico/Funda Flexible Autocolapsable X 300 Ml,Adjudicado otros oferentes,6.2422,Pichincha , Quito,2022-03-28 08:00:00
SICM-091-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=AzdarTuVoEc9LHZq3_Ed5AVBmYArgE_78Eoq4Y8tYGA,",DCI: EXEMESTANO - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Exemestano,Sólido Oral,25 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.8232,Pichincha , Quito,2022-03-28 08:00:00
SICM-109-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=jn4pqQpRLNBEdrQByqnSDTVQpNV-PMd_YKwu4XhQAyM,",DCI: LINEZOLID - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 600 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Linezolid,Sólido Oral,600 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,2.0,Pichincha , Quito,2022-03-28 08:00:00
SICM-092-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gJWpOAcqDl0guzBOd7iZdVC1E5U0Ff0KkSGl9PkJ2hs,",DCI: FILGRASTIM - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 300 MCG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES - CAJA X JERINGA-S- PRELLENADA-S-,Filgrastim,Líquido Parenteral,300 MCG,Caja X Vial-Es - Caja X Jeringa-S- Prellenada-S-,Adjudicado otros oferentes,4.2,Pichincha , Quito,2022-03-28 08:00:00
SICM-112-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=trZemjbH7_3Axe5jpTMzVrNVTJRX9P66bQ7rMn8Q5g4,","DCI: OCTREOTIDA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,1 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML",Octreotida,Líquido Parenteral,"0,1 MG/ML",Caja X Ampolla-S- X 1 Ml,Adjudicado otros oferentes,4.75,Pichincha , Quito,2022-03-28 08:00:00
SICM-093-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=yZS_cthGtZS56PEPCLzqZPzOtwz_bgdcsE3AIir0ktw,",DCI: ADALIMUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 40 MG - PRESENTACIÓN COMERCIAL: CAJA X JERINGAS/AUTOINYECTORES/LAPICERAS -PRELLENADAS-,Adalimumab,Líquido Parenteral,40 MG,Caja X Jeringas/Autoinyectores/Lapiceras -Prellenadas-,Adjudicado oferente ganador,160.0,Pichincha , Quito,2022-03-28 08:00:00
SICM-113-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=pHijP8Ds3ya1GDW3Vm_H8veBTdkuRXI6dgaJ7wHTKfI,",DCI: OCTREOTIDA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE,Octreotida,Sólido Parenteral,20 MG,Caja X Vial Con Diluyente,Adjudicado oferente ganador,550.0,Pichincha , Quito,2022-03-28 08:00:00
SICM-114-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=U4gsYL6Xn0y9WZUpnqw2jmRS_NmL4gd0nGqenRvw3GY,",DCI: PARICALCITOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MCG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S-/VIAL-ES- X 1 ML,Paricalcitol,Líquido Parenteral,5 MCG/ML,Caja X Ampolla-S-/Vial-Es- X 1 Ml,Adjudicado oferente ganador,26.334,Pichincha , Quito,2022-03-28 08:00:00
